H2_Pipelines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,Max_No_Pipe,Existing_No_Pipe,Max_Flow_Tonne_p_Hr_Per_Pipe,H2Pipe_Inv_Cost_per_mile_yr,Pipe_length_miles,H2PipeCap_tonne_per_mile,Min_pipecap_stor_frac,len_bw_comp_mile,BoosterCompCapex_per_tonne_p_hr_yr,BoosterCompEnergy_MWh_per_tonne,H2PipeCompCapex,H2PipeCompEnergy,bus0,bus1,bus0_x,bus0_y,bus1_x,bus1_y
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,346.52379590885,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,ES1 1,ES1 5,-0.498247313630633,40.78999490093028,-3.650686811360254,40.11061009553195
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,370.3177485329186,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,ES1 1,ES1 6,-0.498247313630633,40.78999490093028,-2.8968013540051976,42.7648961811579
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,381.33049981738367,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,ES1 1,FR1 8,-0.498247313630633,40.78999490093028,-0.4288508114936827,43.533022984491794
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,492.46389833147066,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,ES1 2,ES1 3,-5.238705483289992,37.1621830158051,-1.0685533905909534,38.46729399125504
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,444.5816711343212,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,ES1 2,ES1 5,-5.238705483289992,37.1621830158051,-3.650686811360254,40.11061009553195
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,328.27187366731505,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,ES1 2,ES1 8,-5.238705483289992,37.1621830158051,-6.151081792593107,39.41281178823704
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,359.595999143162,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,ES1 3,ES1 5,-1.0685533905909534,38.46729399125504,-3.650686811360254,40.11061009553195
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,253.416960921022,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,ES1 4,FR1 6,1.53223151519779,41.69378610486426,1.729674828609724,43.51121310716024
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,377.1945283469528,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,ES1 5,ES1 6,-3.650686811360254,40.11061009553195,-2.8968013540051976,42.7648961811579
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,284.205125570832,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,ES1 5,ES1 8,-3.650686811360254,40.11061009553195,-6.151081792593107,39.41281178823704
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,272.0739747935204,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,ES1 6,FR1 8,-2.8968013540051976,42.7648961811579,-0.4288508114936827,43.533022984491794
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,264.83273066022,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 0,FR1 11,2.285930386191887,46.4165117639593,-0.1477868720375819,45.53878517204548
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,202.4856022457941,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 0,FR1 12,2.285930386191887,46.4165117639593,2.8376376341268723,45.01155887416662
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,247.1351089284103,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 0,FR1 15,2.285930386191887,46.4165117639593,3.78528005906954,47.87312764625944
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,256.1765499907264,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 0,FR1 16,2.285930386191887,46.4165117639593,4.896736930824648,46.04814358794511
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,333.11450675565777,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 0,FR1 7,2.285930386191887,46.4165117639593,2.412112342234826,48.81161935613287
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,394.6585200442106,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 1,FR1 15,6.1072747878787865,45.52201024242424,3.78528005906954,47.87312764625944
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,138.25545352184983,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 1,FR1 16,6.1072747878787865,45.52201024242424,4.896736930824648,46.04814358794511
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,360.64205748346114,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 1,FR1 17,6.1072747878787865,45.52201024242424,7.098681162538576,48.02632462435081
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,242.850359100776,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 1,FR1 5,6.1072747878787865,45.52201024242424,6.285740340299904,43.779423181195554
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,20.0,0.0,20.2,74087.0,173.60098158849965,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 1,IT1 5,6.1072747878787865,45.52201024242424,7.804870668635753,45.153095876777606
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,267.3237641097471,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 10,FR1 15,3.9989213172754456,49.79126178855921,3.78528005906954,47.87312764625944
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,173.98162366307744,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 10,FR1 3,3.9989213172754456,49.79126178855921,2.4240286159588798,50.53222179402777
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,219.6781926513379,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 10,FR1 4,3.9989213172754456,49.79126178855921,5.960518625870406,48.86187900010679
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,198.0444863503704,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 10,FR1 7,3.9989213172754456,49.79126178855921,2.412112342234826,48.81161935613287
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,297.4251866931009,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 11,FR1 2,-0.1477868720375819,45.53878517204548,-1.259489522917447,47.53739282689119
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,337.6685555214505,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 11,FR1 6,-0.1477868720375819,45.53878517204548,1.729674828609724,43.51121310716024
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,280.17495531219873,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 11,FR1 8,-0.1477868720375819,45.53878517204548,-0.4288508114936827,43.533022984491794
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,182.7600654019463,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 12,FR1 18,2.8376376341268723,45.01155887416662,3.784670782608696,43.88377686956522
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,235.90067669468883,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 12,FR1 6,2.8376376341268723,45.01155887416662,1.729674828609724,43.51121310716024
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,211.3607619477124,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 13,FR1 2,-3.251285779517703,48.26506370373863,-1.259489522917447,47.53739282689119
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,255.5562175805337,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 14,FR1 2,0.5904750041596424,48.901817147533365,-1.259489522917447,47.53739282689119
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,280.170965979738,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 14,FR1 3,0.5904750041596424,48.901817147533365,2.4240286159588798,50.53222179402777
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,167.05591621374964,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 14,FR1 7,0.5904750041596424,48.901817147533365,2.412112342234826,48.81161935613287
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,274.69344727070643,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 15,FR1 16,3.78528005906954,47.87312764625944,4.896736930824648,46.04814358794511
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,243.362497399592,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 15,FR1 4,3.78528005906954,47.87312764625944,5.960518625870406,48.86187900010679
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,181.95446921262743,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 15,FR1 7,3.78528005906954,47.87312764625944,2.412112342234826,48.81161935613287
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,345.0874465396003,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 16,FR1 17,4.896736930824648,46.04814358794511,7.098681162538576,48.02632462435081
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,320.0858245471899,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 16,FR1 18,4.896736930824648,46.04814358794511,3.784670782608696,43.88377686956522
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,316.8848281236117,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 16,FR1 9,4.896736930824648,46.04814358794511,5.073192987178199,43.771718460484735
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,156.52178548905516,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 17,FR1 4,7.098681162538576,48.02632462435081,5.960518625870406,48.86187900010679
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,212.8979295735696,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 18,FR1 6,3.784670782608696,43.88377686956522,1.729674828609724,43.51121310716024
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,130.13865746607772,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 18,FR1 9,3.784670782608696,43.88377686956522,5.073192987178199,43.771718460484735
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,239.15522850130984,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 3,FR1 7,2.4240286159588798,50.53222179402777,2.412112342234826,48.81161935613287
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,121.6962152744523,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 5,FR1 9,6.285740340299904,43.779423181195554,5.073192987178199,43.771718460484735
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,20.0,0.0,20.2,74087.0,243.2229793313354,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 5,IT1 5,6.285740340299904,43.779423181195554,7.804870668635753,45.153095876777606
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,217.56309054138669,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,FR1 6,FR1 8,1.729674828609724,43.51121310716024,-0.4288508114936827,43.533022984491794
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,183.00582088925228,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,GB0 0,GB0 1,-1.9115255609602528,52.46122491282156,-0.4720178099735996,53.45202884546524
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0.0,20.2,74087.0,152.50288415766363,0.36,0.0,100.0,56959.0,0.15,160234.0,0.54,GB0 0,GB0 4,-1.9115255609602528,52.46122491282156,-2.583252000000002,53.481137
