Network_zones,CO_2_Cap_Zone_1,CO_2_Max_Mtons_1
z1,1,0
z2,1,0
z3,1,0
z4,1,0
z5,1,0
z6,1,0
z7,1,0
z8,1,0
z9,1,0
z10,1,0
z11,1,0
z12,1,0
z13,1,0
z14,1,0
z15,1,0
z16,1,0
z17,1,0
z18,1,0
z19,1,0
z20,1,0
z21,1,0
z22,1,0
z23,1,0
z24,1,0
z25,1,0
z26,1,0
z27,1,0
z28,1,0
z29,1,0
z30,1,0
z31,1,0
z32,1,0
z33,1,0
z34,1,0
z35,1,0
z36,1,0
z37,1,0
z38,1,0
z39,1,0
z40,1,0
z41,1,0
z42,1,0
z43,1,0
z44,1,0
z45,1,0
z46,1,0
z47,1,0
z48,1,0
z49,1,0
z50,1,0
z51,1,0
z52,1,0
z53,1,0
z54,1,0
z55,1,0
z56,1,0
z57,1,0
z58,1,0
z59,1,0
z60,1,0
z61,1,0
z62,1,0
z63,1,0
z64,1,0
z65,1,0
z66,1,0
z67,1,0
z68,1,0
z69,1,0
z70,1,0
z71,1,0
z72,1,0
z73,1,0
z74,1,0
z75,1,0
z76,1,0